File Name|Id|Sentence
2004-11-15_03.ascii.txt|991|=== carger314 [~carger314@ip68-228-44-118.tc.ph.cox.net]  has joined #ubuntu
2004-11-15_03.ascii.txt|992|=== thoreauputic [~petros@wolax7-209.dialup.optusnet.com.au]  has joined #ubuntu
2004-11-15_03.ascii.txt|993|=== zara [~zara@69.138.227.132]  has joined #ubuntu
2004-11-15_03.ascii.txt|994|room dead?
2004-11-15_03.ascii.txt|995|mirak_: yepp
2004-11-15_03.ascii.txt|1187|lol
2004-11-15_03.ascii.txt|997|=== compdude [kads@ti211310a081-2220.bb.online.no]  has left #ubuntu []
2004-11-15_03.ascii.txt|998|=== GOwin [~Miranda@210.213.142.27]  has left #ubuntu []
2004-11-15_03.ascii.txt|1146|=== draconian [~draconian@ip68-7-178-227.sd.sd.cox.net]  has joined #ubuntu
2004-11-15_03.ascii.txt|1000|=== strestout1__ is now known as strestout1
2004-11-15_03.ascii.txt|1001|night all :)
2004-11-15_03.ascii.txt|1002|=== yohannes [~yohannes@adsl-67-112-218-21.dsl.sntc01.pacbell.net]  has joined #ubuntu
2004-11-15_03.ascii.txt|1003|can anyone recommend any app to create/open *.rar file?
2004-11-15_03.ascii.txt|1004|yohannes, why not WinRAR?
2004-11-15_03.ascii.txt|1005|http://www.rarlab.com/
2004-11-15_03.ascii.txt|1006|i am trying to weight my option. any other apps?
2004-11-15_03.ascii.txt|1007|Just download RAR 3.41 for Linux
2004-11-15_03.ascii.txt|1008|Oh
2004-11-15_03.ascii.txt|1009|I see
2004-11-15_03.ascii.txt|1010|Only one I know of, sorry =(
2004-11-15_03.ascii.txt|1011|btw, how can i install that darn thing? :)
2004-11-15_03.ascii.txt|1012|i downloaded winrar, does not have any instruction to install
2004-11-15_03.ascii.txt|1013|file-roller
2004-11-15_03.ascii.txt|1014|i suspect i need to do something with the makefile included
2004-11-15_03.ascii.txt|1015|=== mubix [~mubix@ca-29palms-cmts2d-189.losaca.adelphia.net]  has joined #ubuntu
2004-11-15_03.ascii.txt|1016|=== ud [~ud@25.b.001.ham.iprimus.net.au]  has joined #ubuntu
2004-11-15_03.ascii.txt|1072|=== blocke [~blocke@pool-70-18-134-61.pghk.east.verizon.net]  has joined #ubuntu
2004-11-15_03.ascii.txt|1018|=== lev is now known as lev-away
2004-11-15_03.ascii.txt|1019|hi... is anyone elses laptop spinning down the hard drive after like one second of inactivity since updating in the last few days?  its driving me nuts and I'm afraid of damage to the hard drive :(
2004-11-15_03.ascii.txt|1020|=== miked593 [~miked593@ip68-6-239-231.sd.sd.cox.net]  has joined #ubuntu
2004-11-15_03.ascii.txt|1021|=== LKSEONG_ is now known as KentutMerah
2004-11-15_03.ascii.txt|1022|blocke: 5 seconds. that's the minimum you can have. hdparm -S 1 that is :-).
2004-11-15_03.ascii.txt|1143|=== GnuHippy [~jason@blk-222-217-193.eastlink.ca]  has joined #ubuntu
2004-11-15_03.ascii.txt|1024|any idea what is setting it by default in ubuntu?
2004-11-15_03.ascii.txt|1025|blocke: /etc/acpi/power.sh
2004-11-15_03.ascii.txt|1026|it didn't used to be so short on this laptop until I upgraded to hoary... can't be good for the hard drive
2004-11-15_03.ascii.txt|1027|the gimp ScriptFU filters are broken in hoary
2004-11-15_03.ascii.txt|1028|blocke: it makes battery time :-P
2004-11-15_03.ascii.txt|1029|blocke: in warty default is 12.
2004-11-15_03.ascii.txt|1030|yeah I see that, strange
2004-11-15_03.ascii.txt|1031|its not respecting it
2004-11-15_03.ascii.txt|1209|=== natea [~natea@h000f66a887c6.ne.client2.attbi.com]  has joined #ubuntu
2004-11-15_03.ascii.txt|1033|its literally spinning down after a second of inactivity
2004-11-15_03.ascii.txt|1034|blocke: sudo hdparm -i /dev/hda
2004-11-15_03.ascii.txt|1035|=== Hydroxide [user@adsl-98-2.bway.net]  has left #ubuntu []
2004-11-15_03.ascii.txt|1036|http://www.pastebin.com/116669
2004-11-15_03.ascii.txt|1037|wow it is scary how much work they have done on hoary already and how fast updates and fixes are made
2004-11-15_03.ascii.txt|1038|=== holycow [~yada@S0106002078ccd651.vf.shawcable.net]  has joined #ubuntu
2004-11-15_03.ascii.txt|1039|GnuHippy: that's largely merging with sid.
2004-11-15_03.ascii.txt|1040|=== poin_t [point@203.130.197.108]  has joined #ubuntu
2004-11-15_03.ascii.txt|1041|Do they have 1000 Keebler elves working around the clock?
2004-11-15_03.ascii.txt|1146|=== draconian [~draconian@ip68-7-178-227.sd.sd.cox.net]  has joined #ubuntu
2004-11-15_03.ascii.txt|1043|ic jdub
2004-11-15_03.ascii.txt|1044|was Sarge released yet?
2004-11-15_03.ascii.txt|1045|hey jdub, how goes it
2004-11-15_03.ascii.txt|1046|sarge wont be released until i have grandkids
2004-11-15_03.ascii.txt|1047|I'll take that as a no
2004-11-15_03.ascii.txt|1048|gah... stop spinning down!
2004-11-15_03.ascii.txt|1049|=== ajmitch checks to see if his packages are in hoary/universe
2004-11-15_03.ascii.txt|1050|blocke: hmm, that didn't say spindown time :-P. well, sudo hdparm -S 12 /dev/hda does what you want :-).
2004-11-15_03.ascii.txt|1051|I did that several minutes ago
2004-11-15_03.ascii.txt|1052|In universe there is fluxbox_0.1.14-4_i386.deb and fluxbox_0.9.9-1_i386.deb but i can only manage to apt 0.1.14-4. How can I get the 0.9.9-1 release?
2004-11-15_03.ascii.txt|1053|=== blocke reboots in the vein hope that its just a fluke...
2004-11-15_03.ascii.txt|1054|great, I have about 10 packages in universe for hoary :)
2004-11-15_03.ascii.txt|1055|ud, dpkg ?
2004-11-15_03.ascii.txt|1056|umm.. I use apt-get. But should I try dpkg?
2004-11-15_03.ascii.txt|1057|ud: 0.9.9 is most likely the hoary version, not the warty version
2004-11-15_03.ascii.txt|1058|ud: dpkg won't help you
2004-11-15_03.ascii.txt|1059|(well, it could, but it's not advisable)
2004-11-15_03.ascii.txt|1060|ahh but its in the the same repo?
2004-11-15_03.ascii.txt|1061|=== nomasteryoda is away: IM me @ nomasteryoda on AIM / YIM
2004-11-15_03.ascii.txt|1062|it's in the same pool
2004-11-15_03.ascii.txt|1063|all the warty and hoary packages are in the same pool
2004-11-15_03.ascii.txt|1064|ahh ok
2004-11-15_03.ascii.txt|1065|but they're for different releases
2004-11-15_03.ascii.txt|1066|I wondered if that was the case
2004-11-15_03.ascii.txt|1067|Because it wouldnt show the newer release with apt-cache search
2004-11-15_03.ascii.txt|1068|Is there a way I can use the newer release?
2004-11-15_03.ascii.txt|1069|=== logic [~me@222-152-218-210.jetstream.xtra.co.nz]  has joined #ubuntu
2004-11-15_03.ascii.txt|1070|ud: hoary is the development branch
2004-11-15_03.ascii.txt|1071|ud: unless you're very familiar with debian, i wouldn't recommend it
2004-11-15_03.ascii.txt|1072|=== blocke [~blocke@pool-70-18-134-61.pghk.east.verizon.net]  has joined #ubuntu
2004-11-15_03.ascii.txt|1073|ud: there is, but as jdub just said, it's not advisible :-).
2004-11-15_03.ascii.txt|1074|=== defendguin [~supertux@adsl-6-68-108.msy.bellsouth.net]  has joined #ubuntu
2004-11-15_03.ascii.txt|1075|ok thanks for your help, ill just have to wait :)
2004-11-15_03.ascii.txt|1076|=== CPayan [~chatzilla@user-1120jfl.dsl.mindspring.com]  has joined #ubuntu
2004-11-15_03.ascii.txt|1077|=== hazmat [~hazmat@j71055.upc-j.chello.nl]  has joined #ubuntu
2004-11-15_03.ascii.txt|1078|brettcar: sad
2004-11-15_03.ascii.txt|1079|=== Tex___ [tex@beer.tclug.org]  has joined #ubuntu
2004-11-15_03.ascii.txt|1080|hmm I had to hdparm -B 255 to stop the spinning down, oh well, at least I have a workaround
2004-11-15_03.ascii.txt|1155|=== Striss [~Strain@blk-222-170-205.eastlink.ca]  has joined #Ubuntu
2004-11-15_03.ascii.txt|1082|blocke: hehe
2004-11-15_03.ascii.txt|1083|"hey guys, I just installed Fluxbox, and I""m running it...all the fonts in my gnome apps look kinda gross now"
2004-11-15_03.ascii.txt|1084|they don't look like they did in gnome
2004-11-15_03.ascii.txt|1085|fluxbox is in ubuntu?
2004-11-15_03.ascii.txt|1086|dopey: in universe, of course.
2004-11-15_03.ascii.txt|1087|that makes more sense
